1,425920
2,102993
3,37742
4,20716
5,12172
6,7326
7,4840
8,3354
9,2496
10,1966
11,1511
12,1200
13,915
14,779
15,613
16,530
17,430
18,378
19,295
20,297
21,240
22,191
23,167
24,151
25,114
26,132
27,98
28,85
29,66
30,73
31,70
32,44
33,43
34,34
35,38
36,34
37,23
38,25
39,21
40,14
41,24
42,11
43,15
44,17
45,16
46,16
47,14
48,15
49,13
50,5
51,6
52,10
53,3
54,4
55,3
56,4
57,9
58,1
59,5
60,8
61,5
62,2
63,6
64,2
65,2
66,4
67,5
68,1
69,4
70,3
71,1
72,3
73,4
74,2
76,4
77,1
79,2
80,1
81,2
82,2
83,1
84,1
85,2
88,1
89,1
93,1
97,2
98,1
100,1
105,1
115,1
116,1
118,1
120,1
131,1
