Año,Mes,Registrados
,,12
2015,3,3
2015,4,17
2015,5,15
2015,6,5074
2015,7,31509
2015,8,77764
2015,9,121548
2015,10,104690
2015,11,49950
2015,12,19574
2016,1,31378
2016,2,107066
2016,3,79905
2016,4,26411
2016,5,37201
2016,6,37507
2016,7,45498
2016,8,72830
2016,9,113028
2016,10,56822
2016,11,32299
2016,12,16004
2017,1,27303
